北京 beijing bj
北京南 beijingnan bjn
北京西 beijingxi bjx
常州 changzhou cz
成都 chengdu cd
成都东 chengdudong cdd
大同 datong dt
广州 guangzhou gz
广州东 guangzhoudong gzd
广州南 guangzhounan gzn
贵阳北 guiyangbei gyb
桂林北 guilinbei glb
哈尔滨 haerbin heb
汉口 hankou hk
杭州东 hangzhoudong hzd
合肥南 hefeinan hfn
衡阳 hengyang hy
济南 jinan jn
济南西 jinanxi jnx
佳木斯 jiamusi jms
昆明南 kunmingnan kmn
兰州西 lanzhouxi lzx
洛阳龙门 luoyanglongmen lylm
牡丹江 mudanjiang mdj
南仓 nancang nc
南京南 nanjingnan njn
南宁 nanning nn
齐齐哈尔 qiqihaer qqhe
青岛 qingdao qd
山海关 shanhaiguan shg
上海 shanghai sh
上海虹桥 shanghaihongqiao shhq
深圳北 shenzhenbei szb
沈阳 shenyang sy
沈阳北 shenyangbei syb
沈阳南 shenyangnan syn
石家庄 shijiazhuang sjz
苏家屯 sujiatun sjt
太原 taiyuan ty
天津 tianjin tj
无锡 wuxi wx
武昌 wuchang wc
武汉 wuhan wh
西安 xian xa
西安北 xianbei xab
鹰潭 yingtan yt
长春 changchun cc
长沙南 changshanan csn
郑州 zhengzhou zz
郑州东 zhengzhoudong zzd
重庆北 chongqingbei cqb
株洲 zhuzhou zz
