10公里 10gongli 1gl
7公里 7gongli 7gl
8公里 8gongli 8gl
阿巴嘎旗 abagaqi abgq
阿城 acheng ac
阿尔山 aershan aes
阿尔山北 aershanbei aesb
阿贵图 aguitu agt
阿金 ajin aj
阿克苏 akesu aks
阿克陶 aketao akt
阿拉山口 alashankou alsk
阿勒泰 aleitai alt
阿里河 alihe alh
阿龙山 alongshan als
阿木尔 amuer ame
阿南庄 ananzhuang anz
阿图什 atushen ats
阿乌尼 awuni awn
阿寨 azhai az
埃岱 aidai ad
艾不盖 aibugai abg
艾河 aihe ah
艾家村 aijiacun ajc
爱河 aihe ah
安达 anda ad
安德 ande ad
安多 anduo ad
安富镇 anfuzhen afz
安广 anguang ag
安化 anhua ah
安家 anjia aj
安家湾 anjiawan ajw
安家庄 anjiazhuang ajz
安靖 anjing aj
安康 ankang ak
安口窑 ankouyao aky
安陆 anlu al
安平 anping ap
安庆沟 anqinggou aqg
安庆西 anqingxi aqx
安庆 anqing aq
安仁 anren ar
安顺 anshun as
安塘 antang at
安亭北 antingbei atb
安图 antu at
安溪 anxi ax
安阳 anyang ay
安阳东 anyangdong ayd
鞍山 anshan as
鞍山西 anshanxi asx
昂昂溪 angangxi aax
昂乃 angnai an
敖来 aolai al
敖力布告 aolibugao albg
敖日布格图 aoribugetu arbgt
敖头 aotou at
鳌江 aojiang aj
八村 bacun bc
八达岭 badaling bdl
八方 bafang bf
八虎力 bahuli bhl
八家子 bajiazi bjz
八角台 bajiaotai bjt
八里 bali bl
八面城 bamiancheng bmc
八面通 bamiantong bmt
八盘峡 bapanxia bpx
八苏木 basumu bsm
八仙筒 baxiantong bxt
巴楚 bachu bc
巴东 badong bd
巴林 balin bl
巴山 bashan bs
巴彦高勒 bayangaolei bygl
巴彦郭勒 bayanguolei bygl
巴中 bazhong bz
鲅鱼圈 bayuquan byq
霸州 bazhou bz
白壁关 baibiguan bbg
白城 baicheng bc
白果 baiguo bg
白合 baihe bh
白河 baihe bh
白河东 baihedong bhd
白河县 baihexian bhx
白桦排 baihuapai bhp
白芨沟 baijigou bjg
白鸡坡 baijipo bjp
白涧 baijian bj
白奎堡 baikuibao bkb
白狼 bailang bl
白马 baima bm
白马井 baimajing bmj
白旗 baiqi bq
白泉 baiquan bq
白沙 baisha bs
白沙坡 baishapo bsp
白沙铺 baishapu bsp
白沙沱 baishatuo bst
白山市 baishanshi bss
白山乡 baishanxiang bsx
白石山 baishishan bss
白石岩 baishiyan bsy
白水 baishui bs
白水江 baishuijiang bsj
白水镇 baishuizhen bsz
白涛 baitao bt
白彦花 baiyanhua byh
白音察干 baiyinchagan bycg
白音胡硕 baiyinhushuo byhs
白音华南 baiyinhuanan byhn
白音他拉 baiyintala bytl
白音乌拉 baiyinwula bywl
白银哈尔 baiyinhaer byhe
白银市 baiyinshi bys
白银西 baiyinxi byx
白云鄂博 baiyunebo byeb
白云鄂博南 baiyunebonan byebn
百里峡 bailixia blx
百色 baise bs
柏村 baicun bc
柏果 baiguo bg
柏林 bolin bl
班猫箐 banmaoqing bmq
板城 bancheng bc
板石河 banshihe bsh
板塘 bantang bt
半截店 banjiedian bjd
半截河 banjiehe bjh
蚌埠南 bengbunan bbn
蚌埠 bengbu bb
包头 baotou bt
包头东 baotoudong btd
包头西五场 baotouxiwuchang btxwc
包头西下行乘将所 baotouxixiaxingchengjiangsuo btxxxcjs
包头西一场 baotouxiyichang btxyc
宝坻 baodi bd
宝东 baodong bd
宝华山 baohuashan bhs
宝鸡 baoji bj
宝鸡南 baojinan bjn
宝镜 baojing bj
宝拉格 baolage blg
宝老山 baolaoshan bls
宝林 baolin bl
宝龙山 baolongshan bls
宝木吐 baomutu bmt
宝泉岭 baoquanling bql
宝日格 baorige brg
保定东 baodingdong bdd
保定 baoding bd
保家楼 baojialou bjl
保健 baojian bj
保康 baokang bk
葆园 baoyuan by
堡子湾 buziwan bzw
北安 beian ba
北板桥 beibanqiao bbq
北碚 beibei bb
北戴河 beidaihe bdh
北磴 beideng bd
北岗 beigang bg
北海 beihai bh
北滘 beijiao bj
北京北 beijingbei bjb
北京东 beijingdong bjd
北井子 beijingzi bjz
北林 beilin bl
北流 beiliu bl
北马圈子 beimajuanzi bmjz
北牟 beimou bm
北票南 beipiaonan bpn
北舍 beishe bs
北台 beitai bt
北头河 beitouhe bth
北屯 beitun bt
北屯市 beitunshi bts
北义井 beiyijing byj
北宅 beizhai bz
背荫河 beiyinhe byh
贲红 benhong bh
本井 benjing bj
本溪 benxi bx
本溪湖 benxihu bxh
本溪新城 benxixincheng bxxc
笔架山 bijiashan bjs
毕克齐 bikeqi bkq
碧江 bijiang bj
碧水 bishui bs
碧州 bizhou bz
边沟 biangou bg
别山 bieshan bs
宾阳 binyang by
彬县 binxian bx
滨海北 binhaibei bhb
滨海 binhai bh
滨江 binjiang bj
滨州 binzhou bz
栟茶 bencha bc
播明 boming bm
